,Dem: Median Age,Dem: % <18,Dem: Pop,Div: % NH White,Div: % NH Black,Div: % NH Asian,Div: Max % One Race,Comp: % Married,Hsg: % Paying >20% Income on Housing,Hsg: % Paying >30% Income on Housing,Hsg: Median House Costs,Inc: Gini Index,Mob: % From Out of State (1y),Occ: % in Labor Force,Occ: % in mgmt/bus/science/arts,Occ: % in serv/construct/prod,Trns: % w/ 3+ Vehicles,Trns: % Public Trans to Work,Y: % built pre-1970,Y: % built pre-1940,res_permit_per_cap,runaway_child_crime_per_cap
286,28.4,0.3661659888052189,24833.0,0.10518261990093827,0.20662022309024283,0.002536946804655096,0.6606128941328071,0.42444636180615475,0.8276959808993235,0.6243533625149223,1053.0,0.4051,0.006255877662836816,0.650632149307646,1.7578039644139223,2.634345247385672,0.3557241241640882,0.027115940584189015,0.06248149244891916,0.0037015102161681965,0.05782627954737647,0.0015704908790722023
287,36.4,0.17628194075657783,28999.0,0.5396737818545467,0.06303665643642885,0.17297148177523364,0.5396737818545467,0.4626667203932788,0.6907369044095887,0.37289138798461086,1332.0,0.3696,0.05963753863444788,0.7464771474084059,1.3325004724211056,1.8623259915594095,0.18578732693743896,0.016994890049951198,0.022809893791432032,0.001425618361964502,0.02979413083209766,0.0010690023793923928
288,41.4,0.2319489533191537,8933.0,0.7735363259823128,0.00850778014105004,0.046345012873614685,0.7735363259823128,0.5633265167007498,0.7465373961218836,0.4120498614958449,1742.0,0.5079,0.026603539623492278,0.6956703910614526,1.164770768700448,1.3184059469748064,0.2359081419624217,0.0060542797494780795,0.019407812888778304,0.0,0.04433001231389231,0.00022388895108026418
289,40.6,0.3144848069453964,8754.0,0.7574822938085447,0.0019419693854238064,0.12154443682887822,0.7574822938085447,0.659296791033318,0.44363636363636366,0.33454545454545453,2425.0,0.5045,0.02934380776340111,0.6867734841344644,1.4446371705400094,1.0813605257808794,0.38470672049394444,0.0021372595582996915,0.07945928123969667,0.009231783712495879,0.0205620287868403,0.0
290,29.5,0.0953909960532477,14949.0,0.7042611545922804,0.023145360893705266,0.0661582714562847,0.7042611545922804,0.2755813100564806,0.7535345815819641,0.484715322888804,1307.0,0.4924,0.07503382949932341,0.7975446592663383,1.2518528464017187,2.342857142857143,0.15067264573991032,0.15037369207772794,0.5724050046339203,0.164967562557924,0.05104020335808415,0.0002006823198876179
291,35.4,0.012825396825396825,7875.0,0.7184761904761905,0.04228571428571429,0.06603174603174604,0.7184761904761905,0.31790202616055396,0.5895972090072946,0.3549000951474786,1982.0,0.5316,0.10393900889453621,0.7799435752757117,1.113460174757515,1.139866107378517,0.05593451568894952,0.021129141311697092,0.17563868613138686,0.04212287104622871,0.0034285714285714284,0.0012698412698412698
292,38.1,0.23835035437245383,17919.0,0.6983090574250795,0.0210391204866343,0.07751548635526537,0.6983090574250795,0.5755944055944056,0.6876116736152472,0.3850506253722454,1601.0,0.4906,0.04397458246640049,0.7050852292989088,1.2323127057383423,1.4862620548194465,0.22759524069424736,0.0,0.044765166340508804,0.0033023483365949118,0.03409788492661421,0.00016742005692281934
293,30.4,0.24687222933701114,20302.0,0.2962762289429613,0.08393261747611072,0.017436705743276524,0.5875775785636883,0.3252197003224379,0.7466620426564938,0.53719438182764,1034.0,0.4782,0.035305867665418225,0.7764939983310867,1.754673067132155,2.5149829078478434,0.21658086277294514,0.042860945957937706,0.2897935779816514,0.0,0.024234065609299575,0.0025120677765737365
294,31.4,0.21328671328671328,46618.0,0.3719164271311511,0.07677292033120255,0.059783774507700886,0.4658715517611223,0.36227648324786776,0.7301140464847697,0.4935036812472932,1074.0,0.4141,0.05633128887728914,0.7654896914126385,1.5981331829856544,2.2492952452546513,0.19269325016707506,0.027239664514213613,0.11018799848082035,0.009352449677174326,0.019520356943669825,0.004247286455875413
295,29.6,0.3193548387096774,27900.0,0.1439068100358423,0.09444444444444444,0.015519713261648745,0.727562724014337,0.4568579274461627,0.6879673691366417,0.5411284840244731,1126.0,0.394,0.011985617259288853,0.6271809912014714,1.6041625306068428,2.4576467474025545,0.4808794593207289,0.01273613129327293,0.04431253451131971,0.005659856432909995,0.015519713261648745,0.001075268817204301
