Year Month,Postal Code,Customer Class,Total Gallons
201202,78750,Austin Water Utility,11800
201202,78750,City of Austin,118400
201202,78750,Commercial,7010600
201202,78750,Irrigation - City of Austin,70000
201202,78750,Irrigation - Commercial,3020700
201202,78751,City of Austin,52900
201202,78751,Commercial,11314000
201202,78751,Irrigation - City of Austin,367000
201202,78751,Irrigation - Commercial,210600
201202,78752,City of Austin,93800
201202,78752,Commercial,21357600
201202,78752,Irrigation - City of Austin,0
201202,78752,Irrigation - Commercial,1633100
201202,78753,Austin Water Utility,600
201202,78753,City of Austin,675500
201202,78753,Commercial,31562000
201202,78753,Irrigation - City of Austin,295600
201202,78753,Irrigation - Commercial,3842900
201202,78754,Austin Water Utility,71700
201202,78754,City of Austin,184800
201202,78754,Commercial,11381800
201202,78754,Irrigation - City of Austin,0
201202,78754,Irrigation - Commercial,1968800
201202,78754,Large Volume,127581400
201202,78755,Commercial,36700
201202,78756,Austin Water Utility,53800
201202,78756,City of Austin,28400
201202,78756,Commercial,9624500
201202,78756,Irrigation - City of Austin,0
201202,78756,Irrigation - Commercial,392400
201202,78757,City of Austin,258500
201202,78757,Commercial,15605100
201202,78757,Irrigation - City of Austin,61000
201202,78757,Irrigation - Commercial,368500
201202,78758,City of Austin,143100
201202,78758,Commercial,33846900
201202,78758,Irrigation - City of Austin,1832900
201202,78758,Irrigation - Commercial,3943400
201202,78759,Austin Water Utility,0
201202,78759,City of Austin,24300
201202,78759,Commercial,32753900
201202,78759,Irrigation - City of Austin,0
201202,78759,Irrigation - Commercial,5197600
201202,78766,Commercial,5700
201202,78766,Irrigation - Commercial,24000
201203,78613,Commercial,2689100
201203,78613,Irrigation - Commercial,916700
201203,78617,Austin Water Utility,262700
201203,78617,City of Austin,18333500
201203,78617,Commercial,10646300
201203,78617,Irrigation - City of Austin,0
201203,78617,Irrigation - Commercial,397700
201203,78640,Commercial,101900
201203,78652,Commercial,157500
201203,78652,Irrigation - Commercial,13500
201203,78653,Commercial,387200
201203,78653,Irrigation - Commercial,53000
201203,78653,Wholesale,0
201203,78660,Commercial,4127500
201203,78660,Irrigation - Commercial,1268400
201203,78660,Wholesale,23972600
201203,78681,City of Austin,2100
201203,78681,Irrigation - City of Austin,31000
201203,78701,Austin Water Utility,108000
201203,78701,City of Austin,5570000
201203,78701,Commercial,63987200
201203,78701,Irrigation - City of Austin,309800
201203,78701,Irrigation - Commercial,867900
201203,78701,Large Volume,1714000
201203,78702,Austin Water Utility,64200
201203,78702,City of Austin,668900
201203,78702,Commercial,24825600
201203,78702,Irrigation - City of Austin,206600
201203,78702,Irrigation - Commercial,1106700
201203,78703,Austin Water Utility,10300
201203,78703,City of Austin,954900
201203,78703,Commercial,15333600
201203,78703,Irrigation - City of Austin,84400
201203,78703,Irrigation - Commercial,889200
201203,78704,Austin Water Utility,52100
201203,78704,City of Austin,1368400
201203,78704,Commercial,34938000
201203,78704,Irrigation - City of Austin,108700
201203,78704,Irrigation - Commercial,2015900
201203,78705,City of Austin,83100
201203,78705,Commercial,29976000
201203,78705,Irrigation - City of Austin,400
201203,78705,Irrigation - Commercial,1004800
201203,78705,Large Volume,3739000
201203,78710,Commercial,31600
201203,78710,Irrigation - Commercial,2000
201203,78712,Commercial,6138900
201203,78712,Irrigation - Commercial,2286700
201203,78712,Irrigation - Large Volume,12580000
201203,78712,Large Volume,17643400
201203,78714,Commercial,329200
201203,78714,Irrigation - Commercial,49000
201203,78717,City of Austin,0
201203,78717,Commercial,3991600
201203,78717,Irrigation - City of Austin,0
201203,78717,Irrigation - Commercial,2937500
201203,78719,Austin Water Utility,337200
201203,78719,City of Austin,1875900
201203,78719,Commercial,3147300
201203,78719,Irrigation - City of Austin,204600
201203,78719,Irrigation - Commercial,202000
201203,78719,Wholesale,752600
201203,78721,Austin Water Utility,4200
201203,78721,City of Austin,102000
201203,78721,Commercial,6841700
201203,78721,Irrigation - City of Austin,15200
201203,78721,Irrigation - Commercial,242700
201203,78722,City of Austin,46900
201203,78722,Commercial,4769600
201203,78722,Irrigation - City of Austin,801100
201203,78722,Irrigation - Commercial,340500
201203,78723,City of Austin,2225800
201203,78723,Commercial,13755000
201203,78723,Irrigation - City of Austin,1000
201203,78723,Irrigation - Commercial,3220900
201203,78724,Austin Water Utility,363200
201203,78724,City of Austin,2764000
201203,78724,Commercial,4412400
201203,78724,Irrigation - City of Austin,0
201203,78724,Irrigation - Commercial,2323900
201203,78725,Austin Water Utility,708800
201203,78725,City of Austin,27000
201203,78725,Commercial,4700900
201203,78725,Irrigation - Commercial,79500
201203,78725,Large Volume,28751400
201203,78725,Wholesale,933000
201203,78726,Austin Water Utility,0
201203,78726,City of Austin,271000
201203,78726,Commercial,5799400
201203,78726,Irrigation - Commercial,1518600
201203,78727,City of Austin,24200
201203,78727,Commercial,13664900
201203,78727,Irrigation - City of Austin,100
201203,78727,Irrigation - Commercial,3561300
201203,78728,Commercial,4168500
201203,78728,Irrigation - Commercial,1581000
201203,78728,Large Volume,5969000
201203,78728,Wholesale,33207500
201203,78729,City of Austin,12300
201203,78729,Commercial,10133200
201203,78729,Irrigation - City of Austin,0
201203,78729,Irrigation - Commercial,2589900
201203,78729,Wholesale,24055200
201203,78730,Commercial,2065700
201203,78730,Irrigation - Commercial,1185400
201203,78731,Austin Water Utility,0
201203,78731,City of Austin,114900
201203,78731,Commercial,14303100
201203,78731,Irrigation - City of Austin,8200
201203,78731,Irrigation - Commercial,1970400
201203,78732,Commercial,287200
201203,78732,Irrigation - Commercial,8300
201203,78735,Austin Water Utility,0
201203,78735,City of Austin,280000
201203,78735,Commercial,7302900
201203,78735,Irrigation - Commercial,1770800
201203,78735,Large Volume,15883000
201203,78735,Wholesale,442300
201203,78736,Commercial,1100400
201203,78736,Irrigation - Commercial,221100
201203,78737,Commercial,363100
201203,78737,Irrigation - Commercial,112600
201203,78737,Wholesale,451400
201203,78739,City of Austin,9000
201203,78739,Commercial,1589600
201203,78739,Irrigation - City of Austin,700
201203,78739,Irrigation - Commercial,470800
201203,78739,Wholesale,9493200
201203,78741,Austin Water Utility,94000
201203,78741,City of Austin,270100
201203,78741,Commercial,17463400
201203,78741,Irrigation - City of Austin,871900
201203,78741,Irrigation - Commercial,2311100
201203,78741,Large Volume,37560000
201203,78742,Commercial,440200
201203,78742,Irrigation - Commercial,33900
201203,78744,Austin Water Utility,352600
201203,78744,City of Austin,670000
201203,78744,Commercial,23880000
201203,78744,Irrigation - City of Austin,1007300
201203,78744,Irrigation - Commercial,3212700
201203,78745,City of Austin,123000
201203,78745,Commercial,27523900
201203,78745,Irrigation - City of Austin,500
201203,78745,Irrigation - Commercial,2449200
201203,78745,Wholesale,5809100
201203,78746,City of Austin,1211100
201203,78746,Commercial,10506300
201203,78746,Irrigation - City of Austin,344000
201203,78746,Irrigation - Commercial,1584300
201203,78746,Wholesale,58437800
201203,78747,Austin Water Utility,1469600
201203,78747,Commercial,919500
201203,78747,Irrigation - Commercial,442800
201203,78747,Wholesale,4855500
201203,78748,City of Austin,38200
201203,78748,Commercial,11325500
201203,78748,Irrigation - City of Austin,23200
201203,78748,Irrigation - Commercial,2518100
201203,78748,Wholesale,477100
201203,78749,Austin Water Utility,100
201203,78749,City of Austin,41600
201203,78749,Commercial,8957700
201203,78749,Irrigation - City of Austin,33800
201203,78749,Irrigation - Commercial,4457200
201203,78750,Austin Water Utility,13900
201203,78750,City of Austin,117400
201203,78750,Commercial,7666300
201203,78750,Irrigation - City of Austin,69700
201203,78750,Irrigation - Commercial,3037000
201203,78751,City of Austin,51000
201203,78751,Commercial,12593100
201203,78751,Irrigation - City of Austin,561200
201203,78751,Irrigation - Commercial,231000
201203,78752,City of Austin,124900
201203,78752,Commercial,24407600
201203,78752,Irrigation - City of Austin,0
201203,78752,Irrigation - Commercial,1418700
201203,78753,Austin Water Utility,600
201203,78753,City of Austin,485100
201203,78753,Commercial,39566200
201203,78753,Irrigation - City of Austin,308000
201203,78753,Irrigation - Commercial,4691600
201203,78754,Austin Water Utility,86600
201203,78754,City of Austin,274000
201203,78754,Commercial,12953900
201203,78754,Irrigation - City of Austin,0
201203,78754,Irrigation - Commercial,3267400
201203,78754,Large Volume,127174800
201203,78755,Commercial,37000
201203,78756,Austin Water Utility,63200
201203,78756,City of Austin,28600
201203,78756,Commercial,10067500
201203,78756,Irrigation - City of Austin,0
201203,78756,Irrigation - Commercial,279700
201203,78757,City of Austin,107900
201203,78757,Commercial,15165800
201203,78757,Irrigation - City of Austin,66000
201203,78757,Irrigation - Commercial,407500
201203,78758,City of Austin,141500
201203,78758,Commercial,36537500
201203,78758,Irrigation - City of Austin,2699200
201203,78758,Irrigation - Commercial,4163900
201203,78759,Austin Water Utility,0
201203,78759,City of Austin,25600
201203,78759,Commercial,37152000
201203,78759,Irrigation - City of Austin,0
201203,78759,Irrigation - Commercial,5175500
201203,78766,Commercial,5200
201203,78766,Irrigation - Commercial,24000
201204,78613,Commercial,3527100
201204,78613,Irrigation - Commercial,1705800
201204,78617,Austin Water Utility,89000
201204,78617,City of Austin,8887700
201204,78617,Commercial,9698500
201204,78617,Irrigation - City of Austin,0
201204,78617,Irrigation - Commercial,377900
201204,78640,Commercial,122500
201204,78652,Commercial,216300
201204,78652,Irrigation - Commercial,4100
201204,78653,Commercial,681800
201204,78653,Irrigation - Commercial,184000
201204,78653,Wholesale,0
201204,78660,Commercial,3401100
201204,78660,Irrigation - Commercial,1471500
201204,78660,Wholesale,25008000
201204,78681,City of Austin,18700
201204,78681,Irrigation - City of Austin,43000
201204,78701,Austin Water Utility,120000
201204,78701,City of Austin,7467100
201204,78701,Commercial,68871500
201204,78701,Irrigation - City of Austin,379000
201204,78701,Irrigation - Commercial,1020800
201204,78701,Large Volume,1329000
201204,78702,Austin Water Utility,44900
201204,78702,City of Austin,923000
201204,78702,Commercial,23852800
201204,78702,Irrigation - City of Austin,314400
201204,78702,Irrigation - Commercial,1335000
201204,78703,Austin Water Utility,8500
201204,78703,City of Austin,1021100
201204,78703,Commercial,13814800
201204,78703,Irrigation - City of Austin,93100
201204,78703,Irrigation - Commercial,979900
201204,78704,Austin Water Utility,19500
201204,78704,City of Austin,1577400
201204,78704,Commercial,34328500
201204,78704,Irrigation - City of Austin,52100
201204,78704,Irrigation - Commercial,2862600
201204,78705,City of Austin,69600
201204,78705,Commercial,30080200
201204,78705,Irrigation - City of Austin,700
201204,78705,Irrigation - Commercial,1317700
201204,78705,Large Volume,5144000
201204,78710,Commercial,30700
201204,78710,Irrigation - Commercial,1400
201204,78712,Commercial,7346400
201204,78712,Irrigation - Commercial,4581900
201204,78712,Irrigation - Large Volume,16572000
201204,78712,Large Volume,13366700
201204,78714,Commercial,461300
201204,78714,Irrigation - Commercial,79000
201204,78717,City of Austin,0
201204,78717,Commercial,5384600
201204,78717,Irrigation - City of Austin,0
201204,78717,Irrigation - Commercial,3663800
201204,78719,Austin Water Utility,425600
201204,78719,City of Austin,2812100
201204,78719,Commercial,2968300
201204,78719,Irrigation - City of Austin,404800
201204,78719,Irrigation - Commercial,247400
201204,78719,Wholesale,1410800
201204,78721,Austin Water Utility,3700
201204,78721,City of Austin,105000
201204,78721,Commercial,6377500
201204,78721,Irrigation - City of Austin,13800
201204,78721,Irrigation - Commercial,294400
201204,78722,City of Austin,31800
201204,78722,Commercial,4377700
201204,78722,Irrigation - City of Austin,639700
201204,78722,Irrigation - Commercial,635100
201204,78723,City of Austin,2427900
201204,78723,Commercial,13454800
201204,78723,Irrigation - City of Austin,33800
201204,78723,Irrigation - Commercial,2689000
201204,78724,Austin Water Utility,316700
201204,78724,City of Austin,5169700
201204,78724,Commercial,4502200
201204,78724,Irrigation - City of Austin,0
201204,78724,Irrigation - Commercial,2594500
201204,78725,Austin Water Utility,349400
201204,78725,City of Austin,27000
201204,78725,Commercial,4514500
201204,78725,Irrigation - Commercial,62600
201204,78725,Large Volume,32458100
201204,78725,Wholesale,1050700
201204,78726,Austin Water Utility,0
201204,78726,City of Austin,301000
201204,78726,Commercial,6136400
201204,78726,Irrigation - Commercial,2086800
201204,78727,City of Austin,27900
201204,78727,Commercial,13456300
201204,78727,Irrigation - City of Austin,200
201204,78727,Irrigation - Commercial,3939500
201204,78728,Commercial,2814400
201204,78728,Irrigation - Commercial,1970600
201204,78728,Large Volume,2823000
201204,78728,Wholesale,33307700
201204,78729,City of Austin,12200
201204,78729,Commercial,10139100
201204,78729,Irrigation - City of Austin,0
201204,78729,Irrigation - Commercial,2766700
201204,78729,Wholesale,28122400
201204,78730,Commercial,2189000
201204,78730,Irrigation - Commercial,1454500
201204,78731,Austin Water Utility,0
201204,78731,City of Austin,129400
201204,78731,Commercial,13849700
201204,78731,Irrigation - City of Austin,7500
201204,78731,Irrigation - Commercial,3637900
201204,78732,Commercial,297900
201204,78732,Irrigation - Commercial,6800
201204,78735,Austin Water Utility,0
201204,78735,City of Austin,254100
201204,78735,Commercial,8052300
201204,78735,Irrigation - Commercial,2186500
201204,78735,Large Volume,18171000
201204,78735,Wholesale,353600
201204,78736,Commercial,1343500
201204,78736,Irrigation - Commercial,283200
201204,78737,Commercial,401600
201204,78737,Irrigation - Commercial,126500
201204,78737,Wholesale,420200
201204,78739,City of Austin,8000
201204,78739,Commercial,1045800
201204,78739,Irrigation - City of Austin,900
201204,78739,Irrigation - Commercial,1246600
201204,78739,Wholesale,10127700
201204,78741,Austin Water Utility,59000
201204,78741,City of Austin,242300
201204,78741,Commercial,17527400
201204,78741,Irrigation - City of Austin,1316700
201204,78741,Irrigation - Commercial,3066700
201204,78741,Large Volume,35329000
201204,78742,Commercial,561000
201204,78742,Irrigation - Commercial,45900
201204,78744,Austin Water Utility,349800
201204,78744,City of Austin,742200
201204,78744,Commercial,23106900
201204,78744,Irrigation - City of Austin,1226800
201204,78744,Irrigation - Commercial,3264400
201204,78745,City of Austin,142600
201204,78745,Commercial,26578000
201204,78745,Irrigation - City of Austin,10200
201204,78745,Irrigation - Commercial,3241000
